Week,Tournament,Result,Points Earned,Total Ranking Points,Estimated Ranking,Points to Top
1,No Tournament,,0,21135,66-70,Gap to Top 50 : 4872 pts
2,YONEX Estonian International 2023,2,2130,21135,66-70,Gap to Top 50 : 4872 pts
3,No Tournament,,0,20765,70-74,Gap to Top 70 : 159 pts
4,No Tournament,,0,20765,70-74,Gap to Top 70 : 159 pts
5,No Tournament,,0,20765,70-74,Gap to Top 70 : 159 pts
6,No Tournament,,0,20765,70-74,Gap to Top 70 : 159 pts
7,2023 European Mixed Team Championships,1,2115,20765,70-74,Gap to Top 70 : 159 pts
8,No Tournament,,0,21145,66-70,Gap to Top 50 : 4862 pts
9,No Tournament,,0,21145,66-70,Gap to Top 50 : 4862 pts
10,YONEX German Open 2023,17/32,1670,21145,66-70,Gap to Top 50 : 4862 pts
11,No Tournament,,0,21895,61-65,Gap to Top 50 : 4112 pts
12,ORLEN Polish Open 2023,1,4000,21895,61-65,Gap to Top 50 : 4112 pts
13,No Tournament,,0,24975,51-55,Gap to Top 50 : 1032 pts
14,No Tournament,,0,24975,51-55,Gap to Top 50 : 1032 pts
15,No Tournament,,0,24975,51-55,Gap to Top 50 : 1032 pts
16,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
17,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
18,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
19,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
20,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
21,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
22,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
23,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
24,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
25,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
26,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
27,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
28,No Tournament,,0,24375,52-56,Gap to Top 50 : 1632 pts
29,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
30,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
31,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
32,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
33,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
34,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
35,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
36,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
37,No Tournament,,0,23455,55-59,Gap to Top 50 : 2552 pts
38,No Tournament,,0,21935,61-65,Gap to Top 50 : 4072 pts
39,No Tournament,,0,21935,61-65,Gap to Top 50 : 4072 pts
40,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
41,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
42,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
43,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
44,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
45,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
46,No Tournament,,0,16435,90-94,Gap to Top 70 : 4489 pts
47,No Tournament,,0,14235,104-108,Gap to Top 100 : 830 pts
48,No Tournament,,0,14235,104-108,Gap to Top 100 : 830 pts
49,No Tournament,,0,11435,127-131,Gap to Top 100 : 3630 pts
50,No Tournament,,0,9915,145-149,Gap to Top 100 : 5150 pts
51,No Tournament,,0,9915,145-149,Gap to Top 100 : 5150 pts
52,No Tournament,,0,9915,145-149,Gap to Top 100 : 5150 pts
