"year","Rank","mean_points"
2018,1,104555.905660377
2018,2,84828
2018,3,79872.0754716981
2018,4,76310.2830188679
2018,5,72541.8113207547
2018,6,67894.5660377358
2018,7,62578.3018867925
2018,8,60485.7924528302
2018,9,59100.9811320755
2018,10,57787.6603773585
2018,11,56763.2264150943
2018,12,55434.7547169811
2018,13,53168.7735849057
2018,14,52223.3962264151
2018,15,51408.5471698113
2018,16,49408.0943396226
2018,17,48114.4716981132
2018,18,46675.2830188679
2018,19,45484.4905660377
2018,20,44554.2641509434
2018,21,43515.4339622641
2018,22,42671.5660377359
2018,23,42074.7735849057
2018,24,41537.9622641509
2018,25,41017.8679245283
2018,26,40480.9245283019
2018,27,39805.0943396226
2018,28,39161.8113207547
2018,29,38243.3962264151
2018,30,37507.9811320755
2018,31,36691.9622641509
2018,32,35916.641509434
2018,33,35016.9811320755
2018,34,34535.5849056604
2018,35,34043.5471698113
2018,36,33211.1132075472
2018,37,32477.320754717
2018,38,32008.2830188679
2018,39,31407.8490566038
2018,40,30982.6981132075
2018,41,30378.0943396226
2018,42,29691.1886792453
2018,43,29184.4528301887
2018,44,28723.5471698113
2018,45,28274.6981132075
2018,46,27891.1698113208
2018,47,27192.4339622641
2018,48,26443.5094339623
2018,49,25811.8301886792
2018,50,25451.3396226415
2018,51,25048.7547169811
2018,52,24695.6037735849
2018,53,24385.5849056604
2018,54,24080.7169811321
2018,55,23818.1132075472
2018,56,23407.5471698113
2018,57,23004.1509433962
2018,58,22558.2452830189
2018,59,22261.641509434
2018,60,21926.1509433962
2018,61,21583.4528301887
2018,62,21184.7924528302
2018,63,20938.2830188679
2018,64,20675.3396226415
2018,65,20415.5849056604
2018,66,20114.2075471698
2018,67,19865.1509433962
2018,68,19535.8113207547
2018,69,19202.4339622641
2018,70,18902.2641509434
2018,71,18668.1886792453
2018,72,18387.2075471698
2018,73,18042.5283018868
2018,74,17644.6981132075
2018,75,17249.9433962264
2018,76,17027.8867924528
2018,77,16823
2018,78,16539.6603773585
2018,79,16374.2264150943
2018,80,16171.1698113208
2018,81,15912.7358490566
2018,82,15708.3396226415
2018,83,15465.7358490566
2018,84,15281.8301886792
2018,85,15133.3962264151
2018,86,14845.7358490566
2018,87,14645.4716981132
2018,88,14428.5471698113
2018,89,14264.4528301887
2018,90,14065.5094339623
2018,91,13889.9811320755
2018,92,13734.7547169811
2018,93,13606.4339622642
2018,94,13451.1886792453
2018,95,13294.6037735849
2018,96,13171.1320754717
2018,97,13077.6226415094
2018,98,12966.2075471698
2018,99,12873.4150943396
2018,100,12768.1509433962
2018,101,12661.0754716981
2018,102,12553.3962264151
2018,103,12418.7169811321
2018,104,12288.6981132075
2018,105,12173.8679245283
2018,106,12037.3773584906
2018,107,11927.4339622642
2018,108,11821.0377358491
2018,109,11701.8679245283
2018,110,11575.1509433962
2018,111,11454.7735849057
2018,112,11337.7924528302
2018,113,11216.641509434
2018,114,11104.5849056604
2018,115,11008.7924528302
2018,116,10887.3018867925
2018,117,10786.8679245283
2018,118,10695.9622641509
2018,119,10612.5660377358
2018,120,10513.7169811321
2018,121,10407.2264150943
2018,122,10292.4150943396
2018,123,10184.7924528302
2018,124,10097.6037735849
2018,125,10018.3396226415
2018,126,9931.60377358491
2018,127,9850.33962264151
2018,128,9773
2018,129,9672.8679245283
2018,130,9593.66037735849
2018,131,9516.03773584906
2018,132,9434.88679245283
2018,133,9332.18867924528
2018,134,9250.83018867925
2018,135,9167.92452830189
2018,136,9060.2641509434
2018,137,8989.18867924528
2018,138,8933.60377358491
2018,139,8865.47169811321
2018,140,8796.05660377358
2018,141,8708.01886792453
2018,142,8636.88679245283
2018,143,8554.52830188679
2018,144,8480.83018867925
2018,145,8411.37735849057
2018,146,8354.32075471698
2018,147,8294.58490566038
2018,148,8206.84905660377
2018,149,8122.03773584906
2018,150,8064.52830188679
2018,151,8024.92452830189
2018,152,7955.81132075472
2018,153,7901.39622641509
2018,154,7855.07547169811
2018,155,7791.8679245283
2018,156,7737.75471698113
2018,157,7673.94339622641
2018,158,7596.64150943396
2018,159,7558.60377358491
2018,160,7489.71698113208
2018,161,7436.16981132075
2018,162,7376.77358490566
2018,163,7318.32075471698
2018,164,7275.28301886792
2018,165,7238.09433962264
2018,166,7192.81132075472
2018,167,7156.84905660377
2018,168,7111.11320754717
2018,169,7060.22641509434
2018,170,7011.03773584906
2018,171,6936.30188679245
2018,172,6881.79245283019
2018,173,6844.33962264151
2018,174,6781.37735849057
2018,175,6726.64150943396
2018,176,6649.81132075472
2018,177,6602.88679245283
2018,178,6545.33962264151
2018,179,6486.20754716981
2018,180,6437.03773584906
2018,181,6394.32075471698
2018,182,6352.15094339623
2018,183,6319.8679245283
2018,184,6278.05660377359
2018,185,6242.66037735849
2018,186,6203.7358490566
2018,187,6165.22641509434
2018,188,6141.03773584906
2018,189,6111.05660377359
2018,190,6069.98113207547
2018,191,6036.50943396226
2018,192,6007.47169811321
2018,193,5968.07547169811
2018,194,5929.52830188679
2018,195,5896.37735849057
2018,196,5862.24528301887
2018,197,5828.32075471698
2018,198,5793.09433962264
2018,199,5753.96226415094
2018,200,5714.64150943396
2019,1,103243.384615385
2019,2,88860.5
2019,3,83586.9038461538
2019,4,77334.2307692308
2019,5,72577.1153846154
2019,6,70785.0384615385
2019,7,67005.6153846154
2019,8,65342.0961538462
2019,9,61896.5192307692
2019,10,59601.6538461538
2019,11,58375.5961538462
2019,12,57290.4230769231
2019,13,56330.2692307692
2019,14,55153.5
2019,15,53387.8076923077
2019,16,50819.9423076923
2019,17,49284.6923076923
2019,18,48390.2307692308
2019,19,47409.6923076923
2019,20,46577.3846153846
2019,21,45671.4038461538
2019,22,45112.9807692308
2019,23,44453.0384615385
2019,24,43601.1538461538
2019,25,42542.8076923077
2019,26,41917.9615384615
2019,27,41438.1923076923
2019,28,40763.8269230769
2019,29,39570.5192307692
2019,30,38625.7307692308
2019,31,38046.5576923077
2019,32,37215.9807692308
2019,33,36336.1538461538
2019,34,35348.1346153846
2019,35,34773.5961538462
2019,36,34355.2692307692
2019,37,33709.0576923077
2019,38,33055.4230769231
2019,39,32504.4230769231
2019,40,32032.6346153846
2019,41,31608.9038461538
2019,42,31131.6730769231
2019,43,30524.1346153846
2019,44,30019.6153846154
2019,45,29549.1153846154
2019,46,29145.4230769231
2019,47,28644.8461538462
2019,48,28183.6538461538
2019,49,27894.4038461538
2019,50,27624
2019,51,27305.4038461538
2019,52,26867.0192307692
2019,53,26399.4807692308
2019,54,25817.8846153846
2019,55,25265.1346153846
2019,56,24757.6346153846
2019,57,24380.7115384615
2019,58,23995.1923076923
2019,59,23396.9423076923
2019,60,22938.8846153846
